Name,Website,MapsURL
Re-Infotech - Softwares | Websites | Social Media | Digital Marketing Agency in GOA,https://re-infotech.com/,"https://www.google.com/maps/place/Re-Infotech+-+Softwares+%7C+Websites+%7C+Social+Media+%7C+Digital+Marketing+Agency+in+GOA/@15.3428384,73.9872517,11.94z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfb07f00000001:0xbdd45030e39fed91!8m2!3d15.3943182!4d74.0037477!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSARBtYXJrZXRpbmdfYWdlbmN54AEA!16s%2Fg%2F11h8w1bgw7?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Cybercad Technologies Pvt Ltd,https://www.cybercadtechnologies.com/,"https://www.google.com/maps/place/Cybercad+Technologies+Pvt+Ltd/@15.3428384,73.9872517,11.94z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfba9140000007:0x9113e916f72d1501!8m2!3d15.4011251!4d74.0035623!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11c1s2ngjl?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Spintly India Private Ltd.,https://spintly.com/time-and-attendance-management-system/?utm_source=google_my_business&utm_medium=web&utm_campaign=clicks,"https://www.google.com/maps/place/Spintly+India+Private+Ltd./@15.3428384,73.9872517,11.94z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfb1e6c50c34e3:0x2ec2215b9a94264b!8m2!3d15.2892441!4d73.963669!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSARBzb2Z0d2FyZV9jb21wYW554AEA!16s%2Fg%2F11s892pvrm?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Automatez,https://automatez.in/,"https://www.google.com/maps/place/Automatez/@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfbb5058d86343:0xec22e51491737a34!8m2!3d15.3995148!4d74.0180348!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSAR1jb21wdXRlcl9zdXBwb3J0X2FuZF9zZXJ2aWNlc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGJtUk1PRFZCUlJBQuABAPoBBAgmEEI!16s%2Fg%2F11kn2r93yg?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Genora Infotech Pvt Ltd,http://www.genorainfotech.com/,"https://www.google.com/maps/place/Genora+Infotech+Pvt+Ltd/@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfb7501ae8d825:0x837d00f36b1caa33!8m2!3d15.2920161!4d73.9690413!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11g8vvw2tq?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Coderix,https://coderix.io/,"https://www.google.com/maps/place/Coderix/@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfbbfae77f6b77:0xe01fb38128b90524!8m2!3d15.402608!4d74.0097369!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSARBzb2Z0d2FyZV9jb21wYW554AEA!16s%2Fg%2F11hdtc5xdp?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Naiker Infotech - Inspiring Technology,https://www.naikerinfotech.com/,"https://www.google.com/maps/place/Naiker+Infotech+-+Inspiring+Technology/@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfb1ec069c4005:0x5b95fd17cc84f06d!8m2!3d15.33687!4d73.9813877!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSAR1jb21wdXRlcl9zdXBwb3J0X2FuZF9zZXJ2aWNlc-ABAA!16s%2Fg%2F11np33m_js?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Teknorix Technologies Pvt. Ltd.,https://www.teknorix.com/,"https://www.google.com/maps/place/Teknorix+Technologies+Pvt.+Ltd./@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfb0ba9d1b8159:0x486ebe003041e39b!8m2!3d15.3639328!4d73.94795!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSARBzb2Z0d2FyZV9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15T1hScVNVaEJFQUXgAQD6AQQIABAN!16s%2Fg%2F1q62fhl9d?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
INFOGRO SYSTEMS | Best computer shop in Ponda Goa | Best CCTV shop in Ponda Goa,,"https://www.google.com/maps/place/INFOGRO+SYSTEMS+%7C+Best+computer+shop+in+Ponda+Goa+%7C+Best+CCTV+shop+in+Ponda+Goa/@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfbabb9f52de13:0xed557fc776a2228d!8m2!3d15.3993067!4d74.0048367!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSARBjb21wdXRlcl9zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJrTm5RemVFNVJFQUXgAQD6AQUI2wEQSg!16s%2Fg%2F11clsx3jln?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
CodeMax IT Solutions Pvt Ltd,http://cdmx.in/,"https://www.google.com/maps/place/CodeMax+IT+Solutions+Pvt+Ltd/@15.2892441,73.8047604,11z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+ponda+goa!3m6!1s0x3bbfb3e6340178f3:0x1eecda05164dc62a!8m2!3d15.2967123!4d73.9692945!15sCh9Tb2Z0d2FyZSBDb21wYW5pZXMgaW4gcG9uZGEgZ29hWiEiH3NvZnR3YXJlIGNvbXBhbmllcyBpbiBwb25kYSBnb2GSARBzb2Z0d2FyZV9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5JZUhWWVZWbDNFQUXgAQD6AQQIXhAu!16s%2Fg%2F11cjhr4s0x?entry=ttu&g_ep=EgoyMDI2MDEyMC4wIKXMDSoASAFQAw%3D%3D"
