title,company,location,link,description,date_posted,entities_in_job,matched_profile_entities
"Sales and Marketing Internship in Dharwad, Chitradurga, Panaji, Hubballi (Hybrid)",DeCarbonic,"Panaji, Goa, India",https://in.linkedin.com/jobs/view/sales-and-marketing-internship-in-dharwad-chitradurga-panaji-hubballi-hybrid-at-decarbonic-4362366645?position=1&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=fiiDlEfQ52Z8hFiryNauCQ%3D%3D,"Are you passionate about sales and marketing? Do you have a knack for driving revenue and creating impactful marketing campaigns? DeCarbonic is looking for a dynamic sales and marketing intern to join our team! As a sales and marketing intern, you will have the opportunity to learn and grow in a fast-paced environment.Selected Intern’s Day-to-day Responsibilities IncludeAssisting the sales team with lead generation and prospectingSupporting sales management in analyzing sales data and trendsCollaborating with the marketing team to create and implement marketing campaignsDeveloping and executing marketing strategies to drive brand awareness and customer engagementConducting market research to identify new opportunities for growthAssisting in the coordination of sales and marketing eventsProviding administrative support to the sales and marketing departmentsIf you are a motivated self-starter with a passion for sales and marketing, we want to hear from you! Join us at DeCarbonic and take your skills to the next level. Apply now!About Company: DeCarbonic is a brand of Noon IT Solutions India Private Limited and a leading provider of carbon credit services. Our mission is to help companies and individuals reduce their carbon footprint and mitigate the impact of climate change. We offer a range of services, including carbon credit procurement, project development, and certification. Our team of experts has extensive experience in the carbon credits industry, and we work closely with our clients to understand their specific needs and goals.At DeCarbonic, we believe in the power of sustainability and the role that businesses and individuals can play in creating a greener future. We are committed to providing high-quality, affordable carbon credits and helping our clients reduce their environmental impact. Whether you're a company looking to offset your emissions or an individual looking to reduce your carbon footprint, DeCarbonic has the expertise and resources to help you achieve your goals.",1 week ago,"[{'text': 'Panaji', 'label': 'PERSON'}, {'text': 'Hubballi', 'label': 'PERSON'}, {'text': 'Panaji, Goa', 'label': 'PERSON'}, {'text': 'India', 'label': 'GPE'}, {'text': 'DeCarbonic', 'label': 'PERSON'}, {'text': 'DeCarbonic', 'label': 'ORG'}, {'text': 'DeCarbonic', 'label': 'ORG'}, {'text': 'Noon IT Solutions India Private Limited', 'label': 'ORG'}, {'text': 'DeCarbonic', 'label': 'ORG'}, {'text': 'DeCarbonic', 'label': 'ORG'}, {'text': '1 week ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}]"
Digital Marketing Intern,INSIDEA,"Goa, India",https://in.linkedin.com/jobs/view/digital-marketing-intern-at-insidea-4360889944?position=2&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=ccgx63tLA1thkp3BFsjkzg%3D%3D,"About the company:At INSIDEA, we are a fully remote organisation, hiring top talents from across the globe to deliver exceptional digital marketing and HubSpot solutions. Our diverse services are designed to enhance your brand’s online presence and drive real, measurable growth. From marketing optimization and content creation to full-scale HubSpot integration, we provide a holistic approach to transform your digital experience and maximize performance.To learn more about INSIDEA please visitwww.insidea.comJob Description:We are looking for a motivatedSEO Internto support our organic growth initiatives. In this role, you will work closely with the marketing and content teams and gain hands-on experience acrosson-page SEO, technical SEO, and content optimization.Duration:3–6 MonthsType:Paid Internship (Full-time)Working Hours:EST Time ZoneJob Responsibilities:As an SEO Intern, you will:Conduct keyword research and identify ranking opportunitiesSupport on-page, content, andbasic technical SEO optimizationAnalyze website performance using Google Analytics and Search ConsoleTrack keyword rankingsand prepare SEO reportsAssist with competitor analysis, SEO audits, and link-building initiativesCollaborate with cross-functional teams to implement SEO best practicesPreferred Experience:Basic understanding of on-page, off-page, and technical SEOFamiliarity with SEO and keyword research tools (preferred)Basic knowledge of Google Analytics and Search ConsoleStrong communication, analytical skills, and attention to detailWillingness to learn in a fast-paced environmentWhat You’ll Gain:Hands-on experience on live SEO projectsExposure to industry-standard SEO toolsMentorship from experienced marketersOpportunity for full-time conversionInternship certificate (if applicable)",3 days ago,"[{'text': 'Digital Marketing Intern INSIDEA Goa', 'label': 'ORG'}, {'text': 'India', 'label': 'GPE'}, {'text': 'INSIDEA', 'label': 'ORG'}, {'text': 'HubSpot', 'label': 'ORG'}, {'text': 'HubSpot', 'label': 'NORP'}, {'text': 'INSIDEA', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': 'EST Time ZoneJob Responsibilities', 'label': 'ORG'}, {'text': 'SEO Intern', 'label': 'ORG'}, {'text': 'Google Analytics', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': 'SEOFamiliarity', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': 'Google Analytics', 'label': 'ORG'}, {'text': 'ConsoleStrong', 'label': 'ORG'}, {'text': 'SEO', 'label': 'ORG'}, {'text': '3 days ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}]"
Marketing Intern,SUN360,"Marmagao, Goa, India",https://in.linkedin.com/jobs/view/marketing-intern-at-sun360-4359124625?position=3&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=%2FN3FmlyxAzdy83Rg%2FKlxGw%3D%3D,"AtSUN360, we’re more than just a solar company—we’re building a sustainable future. Since 2013, we’ve been driving solar adoption across residential, commercial, and industrial sectors. With 15+ MW installations across Goa, we’re on a mission to make clean energy accessible, impactful, and innovative.Join Our TeamIf you’re creative, curious, and passionate about marketing, this is your chance to learn, grow, and make a real difference. At SUN360, your ideas are heard, your creativity is encouraged, and your work contributes to a greener planet.Responsibilities:Create engaging content for social media, blogs, newsletters, reels, and digital platformsAssist in designing marketing materials (brochures, posters, presentations, videos)Support planning and execution of online & offline marketing campaignsHelp organize events, promotions, and brand activitiesMaintain marketing databases and assist with CRM updatesRequirementsGraduates fromBA / BCom / BBA / BMSor related fieldsStrong interest inMarketing, Digital Media, or Content CreationCreative mindset with basic design skills or familiarity with design toolsGood understanding of social media and digital marketing trendsStrong written and verbal communication skillsEager to learn and comfortable working in a fast-paced team environmentBenefitsStipend + Internship Completion CertificateHands-on learning in digital marketing, branding & content creationPortfolio-building opportunities with real projectsCreative freedom to bring your ideas to lifeOne-on-one mentorship from experienced professionalsExposure to the fast-growing clean energy & sustainability sector.",1 week ago,"[{'text': 'SUN360 Marmagao', 'label': 'PERSON'}, {'text': 'India', 'label': 'GPE'}, {'text': '2013', 'label': 'DATE'}, {'text': '15', 'label': 'CARDINAL'}, {'text': 'Goa', 'label': 'PERSON'}, {'text': 'SUN360', 'label': 'ORG'}, {'text': 'videos)Support', 'label': 'ORG'}, {'text': 'CRM', 'label': 'PRODUCT'}, {'text': 'fromBA / BCom / BBA /', 'label': 'ORG'}, {'text': 'Digital Media', 'label': 'ORG'}, {'text': 'Content CreationCreative', 'label': 'ORG'}, {'text': '1 week ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}, {'text': 'Goa', 'label': 'PERSON'}, {'text': 'CRM', 'label': 'PRODUCT'}]"
Recruiting Intern,Discoveries Quintessential,"Goa, India",https://in.linkedin.com/jobs/view/recruiting-intern-at-discoveries-quintessential-4355288373?position=4&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=C3880d6djWwyuKJeOPXIOg%3D%3D,:🌟 Hiring: Recruiting Intern (Remote)We are looking for aRecruiterto support our hiring activities across multiple roles. This is a great opportunity for someone who wants flexible working hours and enjoys sourcing and closing candidates.Work Mode:Fully RemoteExperience:6 months – 1 years (Freshers with strong communication can also apply)📌 Key ResponsibilitiesScreen resumes and conduct initial telephonic interviewsCoordinate interviews with hiring managersMaintain candidate pipelines and daily trackersFollow up with candidates until joiningSupport bulk hiring or niche hiring as requiredMeet daily/weekly hiring targets🎓 RequirementsGood communication & interpersonal skillsBasic understanding of recruitment cycle (sourcing → screening → coordination → closure)Familiarity with LinkedIn Recruiter sourcing platformsAbility to work independently and meet deadlinesLaptop + good internet connection mandatory⏱ Work TimingFlexible hours (8 hours/day)Weekend availability (optional) for urgent requirements💰 CompensationFixed monthly payoutandPer-closure incentives(Can be discussed during the interview)🎯 Ideal ForFreelancersHousewivesStudentsRecruiters looking for additional incomeAnyone who wants to work flexible hours,4 hours ago,"[{'text': 'Recruiting Intern Discoveries Quintessential Goa', 'label': 'ORG'}, {'text': 'India', 'label': 'GPE'}, {'text': 'working hours', 'label': 'TIME'}, {'text': 'months', 'label': 'DATE'}, {'text': '1 years', 'label': 'DATE'}, {'text': 'daily', 'label': 'DATE'}, {'text': 'weekly', 'label': 'DATE'}, {'text': 'RequirementsGood', 'label': 'ORG'}, {'text': 'LinkedIn Recruiter', 'label': 'ORG'}, {'text': '8 hours', 'label': 'TIME'}, {'text': '💰 CompensationFixed', 'label': 'ORG'}, {'text': 'monthly', 'label': 'DATE'}, {'text': 'hours 4 hours ago', 'label': 'TIME'}]","[{'text': 'India', 'label': 'GPE'}]"
Marketing & Content Intern,Kaizen Wellness Goa,"Panaji, Goa, India",https://in.linkedin.com/jobs/view/marketing-content-intern-at-kaizen-wellness-goa-4354173805?position=5&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=G7%2FBM0XAUnRUCOMWGCUvmA%3D%3D,"Kaizen Wellness is looking for a creative, bubbly, and enthusiastic Marketing & Content Intern who loves shooting content and telling stories through reels, visuals, and real-time moments.This is a paid, flexible, part-time, on-call role. You’ll be called in whenever we need content support for shoots, events, workshops, influencer collaborations, or studio activities.What you’ll do:Shoot aesthetic photo and video contentCreate impromptu reels and short-form videosCover events and experiences on Instagram storiesSupport with social media posts and newslettersHelp bring our brand stories to life through creative storytellingWho you are:A content creator or someone with prior content experienceBubbly, energetic, and proactiveStrong eye for aesthetics, framing, and lightingGood at creative storytellingComfortable working with people and directing on cameraBased in Goa (or available to travel to the studio as needed)This role is perfect for:Students, freelancers, or creators looking to work with a premium wellness brand while building a strong portfolio.At Kaizen, content is not just marketing. It’s about storytelling, transformation, and conscious living.Interested? Send us your CV on team@kaizengoa.com",1 day ago,"[{'text': 'Kaizen Wellness', 'label': 'PERSON'}, {'text': 'Kaizen Wellness', 'label': 'PERSON'}, {'text': 'Marketing & Content Intern', 'label': 'ORG'}, {'text': 'Instagram', 'label': 'ORG'}, {'text': 'Goa', 'label': 'PERSON'}, {'text': 'Kaizen', 'label': 'GPE'}, {'text': 'CV', 'label': 'PERSON'}, {'text': 'team@kaizengoa.com 1 day ago', 'label': 'DATE'}]","[{'text': 'Goa', 'label': 'PERSON'}]"
Accounts Intern,SUN360,"Marmagao, Goa, India",https://in.linkedin.com/jobs/view/accounts-intern-at-sun360-4355195121?position=6&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=jBQOSzg%2BCcNH%2FzDv44916w%3D%3D,"About Us:At Sun360, we’re leading Goa’s solar energy revolution, driving the mass adoption of renewable energy across residential, commercial, and industrial sectors. Since 2013, we’ve delivered over 15 MW of solar installations and played a key role in shaping Goa’s Solar Policy.We’re on a mission to make clean energy accessible, sustainable, and transformative for communities while offering cutting-edge technology and seamless services from consultation to installation and maintenance.Roles & ResponsibilitiesReceiving materials and verifying related billingsReconciliation support for materials and billsPhysical document maintenance and systematic updating in the systemTracking of materials and regular follow-upsFollowing up on pending paymentsHandling day-to-day office administration activitiesRequirementsMinimum qualification: B.Com, M.Com (Freshers can apply)Basic knowledge of MS Excel (including formulasBasic understanding of office administration workStrong attention to details and willingness to learnGood communicaion and organizational SkillsBenefitsHands on exposure to accounts & office admin workMS Excel and system-based skill developmentCareer growth based on performanceGood starting opportunity for freshersInternship completion certificateFriendly and supportive work environment",1 week ago,"[{'text': 'SUN360 Marmagao', 'label': 'PERSON'}, {'text': 'India', 'label': 'GPE'}, {'text': 'Us', 'label': 'GPE'}, {'text': 'Goa', 'label': 'PERSON'}, {'text': '2013', 'label': 'DATE'}, {'text': '15', 'label': 'CARDINAL'}, {'text': 'MW', 'label': 'ORG'}, {'text': 'Goa’s Solar Policy', 'label': 'ORG'}, {'text': 'Roles & ResponsibilitiesReceiving', 'label': 'ORG'}, {'text': 'B.Com, M.Com (Freshers', 'label': 'ORG'}, {'text': 'MS Excel', 'label': 'ORG'}, {'text': 'SkillsBenefitsHands', 'label': 'PRODUCT'}, {'text': 'workMS Excel', 'label': 'ORG'}, {'text': '1 week ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}, {'text': 'Goa', 'label': 'PERSON'}]"
Intern – Content Writer (Technical) - Goa,SJ Innovation LLC,"Goa, India",https://in.linkedin.com/jobs/view/intern-%E2%80%93-content-writer-technical-goa-at-sj-innovation-llc-4340582309?position=7&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=6fIkbNdFNtBYDVD9hZLhgg%3D%3D,"We’re looking for a smart Intern who has a passion for technology, IT, and emerging trends in AI. This role involves creating engaging written content that bridges the gap between complex technical ideas and easy-to-understand communication.You will contribute to blogs, website articles, case studies, and social media content that highlight innovation in software, IT, and digital transformation.Key Responsibilities:Research and write blogs, articles, and guides on topics like software development, AI tools, DevOps, cloud computing, and cybersecurity.Create short-form social media content (posts, captions, and updates) promoting technical blogs, company initiatives, and tech awareness.Convert complex technical input from engineers or teams into simple, engaging language.Use AI-assisted writing tools (ChatGPT, Jasper, Grammarly, etc.) for content ideation, refinement, and productivity.Assist in editing and proofreading content to ensure quality, clarity, and brand tone consistency.Support SEO strategies through keyword integration and optimized formatting.Collaborate with the marketing team to align content with ongoing campaigns and trends.Requirements:Pursuing or recently completed a Bachelor’s in Computer Science, IT, EngineeringGood writing and research skills with attention to accuracy.Familiarity with AI-powered tools and interest in learning how to use them for content creation.Awareness of social media platforms and how technical content can be repurposed for engagement.Duration:4 MonthsImportant Information for CandidatesSJ Innovation does not ask for any payment at any stage of the recruitment process.We do not charge fees for job applications, interviews, offer letters, training, or onboarding.If you receive any suspicious call, message, or email claiming to represent SJI, please report it immediately to: job@sjinnovation.com",2 months ago,"[{'text': 'India', 'label': 'GPE'}, {'text': 'Intern', 'label': 'ORG'}, {'text': 'AI', 'label': 'GPE'}, {'text': 'Key Responsibilities:Research', 'label': 'ORG'}, {'text': 'AI', 'label': 'GPE'}, {'text': 'DevOps', 'label': 'ORG'}, {'text': 'Convert', 'label': 'PERSON'}, {'text': 'AI', 'label': 'GPE'}, {'text': 'Jasper', 'label': 'GPE'}, {'text': 'Bachelor’s', 'label': 'ORG'}, {'text': 'AI', 'label': 'GPE'}, {'text': 'MonthsImportant Information', 'label': 'ORG'}, {'text': 'SJI', 'label': 'ORG'}, {'text': '2 months ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}]"
Inside Sales Intern,SUN360,"Marmagao, Goa, India",https://in.linkedin.com/jobs/view/inside-sales-intern-at-sun360-4342941880?position=8&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=pCOd6HHM0MlQrIgXp4W3SA%3D%3D,Make outbound calls to prospective customers from our leads database.Understand client requirements & explain solar solutions and Sun360’s offerings over the phone.Schedule follow-up calls or arrange site visits for the field sales/technical team.Maintain daily call logs and update CRM systems with lead status.Answer customer queries and build positive customer relationships.Assist in email communication and sales coordination tasks.,1 month ago,"[{'text': 'SUN360 Marmagao', 'label': 'PERSON'}, {'text': 'India', 'label': 'GPE'}, {'text': 'daily', 'label': 'DATE'}, {'text': 'CRM', 'label': 'PRODUCT'}, {'text': '1 month ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}, {'text': 'CRM', 'label': 'PRODUCT'}]"
"Tour Guide South India (English/Spanish) Internship in Puduchery, Chennai, Alappuzha, Hyderabad, Kochi, South Goa, North Goa, Mysuru, Panjim, Thiruvananthapuram, Coimbatore, Bangalore",Nine Tours,"North Goa, Goa, India",https://in.linkedin.com/jobs/view/tour-guide-south-india-english-spanish-internship-in-puduchery-chennai-alappuzha-hyderabad-kochi-south-goa-north-goa-mysuru-panjim-thiruvananthapuram-coimbatore-bangalore-at-nine-tours-4365175033?position=9&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=yEjb08IhccOYuscxCh%2BdYA%3D%3D,"Selected Intern's Day-to-day Responsibilities IncludeLeading groups on walking tours, day trips, or other types of tours, depending on the specific needs.Being aware of the area's history, landmarks, and different points of interest and communicating this information effectively to your tour groups.Providing a good experience to visitors to ensure that your tour group feels welcome and comfortable throughout their tour.Assisting with operational tasks related to tour operations.Being active in the group and being available for tours.Maintaining tour reports and updating tour itineraries.Assisting with marketing efforts.About Company: Nine Tours (Ritej Travel Tech Private Limited) is a tour operator company specializing in guided tours for inbound tourists. We offer a variety of experiences, including walking tours, full-day trips, and 48-hour city tours. Currently operating in 10 cities across India, we aim to expand our presence to over 25 cities by the end of the year. Our core focus is to provide travelers with immersive experiences by actively and meaningfully engaging them with the culture, history, people, food, and environment of each destination. Our goal is to make tours not just about visiting a place, but about truly connecting with it in a fun and informative way.",1 day ago,"[{'text': 'Tour Guide South India', 'label': 'ORG'}, {'text': 'English', 'label': 'LANGUAGE'}, {'text': 'Puduchery', 'label': 'GPE'}, {'text': 'Chennai', 'label': 'ORG'}, {'text': 'Alappuzha', 'label': 'ORG'}, {'text': 'Hyderabad', 'label': 'ORG'}, {'text': 'Kochi, South Goa', 'label': 'LOC'}, {'text': 'North Goa', 'label': 'LOC'}, {'text': 'Mysuru', 'label': 'GPE'}, {'text': 'Thiruvananthapuram', 'label': 'ORG'}, {'text': 'Coimbatore', 'label': 'ORG'}, {'text': 'Bangalore Nine Tours North Goa, Goa,', 'label': 'ORG'}, {'text': 'About Company', 'label': 'CARDINAL'}, {'text': 'Nine Tours', 'label': 'ORG'}, {'text': 'Ritej Travel Tech Private Limited', 'label': 'ORG'}, {'text': 'full-day', 'label': 'DATE'}, {'text': '48-hour', 'label': 'TIME'}, {'text': '10', 'label': 'CARDINAL'}, {'text': 'India', 'label': 'GPE'}, {'text': 'over 25', 'label': 'CARDINAL'}, {'text': 'the end of the year', 'label': 'DATE'}, {'text': '1 day ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}]"
"Tour Guide South India (English/Spanish) Internship in Puduchery, Chennai, Alappuzha, Hyderabad, Kochi, South Goa, North Goa, Mysuru, Panjim, Thiruvananthapuram, Coimbatore, Bangalore",Nine Tours,"South Goa, Goa, India",https://in.linkedin.com/jobs/view/tour-guide-south-india-english-spanish-internship-in-puduchery-chennai-alappuzha-hyderabad-kochi-south-goa-north-goa-mysuru-panjim-thiruvananthapuram-coimbatore-bangalore-at-nine-tours-4365164889?position=10&pageNum=0&refId=1j7Wi6r3xNM949cl2Kzk%2BQ%3D%3D&trackingId=W6uUG1wCwnolSTwWZmlxQQ%3D%3D,"Selected Intern's Day-to-day Responsibilities IncludeLeading groups on walking tours, day trips, or other types of tours, depending on the specific needs.Being aware of the area's history, landmarks, and different points of interest and communicating this information effectively to your tour groups.Providing a good experience to visitors to ensure that your tour group feels welcome and comfortable throughout their tour.Assisting with operational tasks related to tour operations.Being active in the group and being available for tours.Maintaining tour reports and updating tour itineraries.Assisting with marketing efforts.About Company: Nine Tours (Ritej Travel Tech Private Limited) is a tour operator company specializing in guided tours for inbound tourists. We offer a variety of experiences, including walking tours, full-day trips, and 48-hour city tours. Currently operating in 10 cities across India, we aim to expand our presence to over 25 cities by the end of the year. Our core focus is to provide travelers with immersive experiences by actively and meaningfully engaging them with the culture, history, people, food, and environment of each destination. Our goal is to make tours not just about visiting a place, but about truly connecting with it in a fun and informative way.",1 day ago,"[{'text': 'Tour Guide South India', 'label': 'ORG'}, {'text': 'English', 'label': 'LANGUAGE'}, {'text': 'Puduchery', 'label': 'GPE'}, {'text': 'Chennai', 'label': 'ORG'}, {'text': 'Alappuzha', 'label': 'ORG'}, {'text': 'Hyderabad', 'label': 'ORG'}, {'text': 'Kochi, South Goa', 'label': 'LOC'}, {'text': 'North Goa', 'label': 'LOC'}, {'text': 'Mysuru', 'label': 'GPE'}, {'text': 'Thiruvananthapuram', 'label': 'ORG'}, {'text': 'Coimbatore', 'label': 'ORG'}, {'text': 'Bangalore Nine Tours South Goa, Goa,', 'label': 'ORG'}, {'text': 'About Company', 'label': 'CARDINAL'}, {'text': 'Nine Tours', 'label': 'ORG'}, {'text': 'Ritej Travel Tech Private Limited', 'label': 'ORG'}, {'text': 'full-day', 'label': 'DATE'}, {'text': '48-hour', 'label': 'TIME'}, {'text': '10', 'label': 'CARDINAL'}, {'text': 'India', 'label': 'GPE'}, {'text': 'over 25', 'label': 'CARDINAL'}, {'text': 'the end of the year', 'label': 'DATE'}, {'text': '1 day ago', 'label': 'DATE'}]","[{'text': 'India', 'label': 'GPE'}]"
